id,album,artist,url,cover,desc
1,狂言,Ado,https://www.qobuz.com/us-en/album/ado/rb40m68r59uka,https://static.qobuz.com/images/covers/ka/9u/rb40m68r59uka_230.jpg,"J-Pop - Released by Universal Music LLC on Jan 26, 2022"
2,ME,Jisoo,https://www.qobuz.com/us-en/album/me-jisoo/k9lpneyxr2bab,https://static.qobuz.com/images/covers/ab/2b/k9lpneyxr2bab_230.jpg,"K-Pop - Released by YG Entertainment - Interscope Records on Mar 31, 2023"
3,ALL OUT,K/DA,https://www.qobuz.com/us-en/album/all-out-k-da/i94i3oen4b7ea,https://static.qobuz.com/images/covers/ea/b7/i94i3oen4b7ea_230.jpg,"Asia - Released by Riot Games on Nov 6, 2020"
4,MY WORLD - The 3rd Mini Album,aespa,https://www.qobuz.com/us-en/album/my-world-the-3rd-mini-album-aespa/a8s744phedf2b,https://static.qobuz.com/images/covers/2b/df/a8s744phedf2b_230.jpg,"K-Pop - Released by SM Entertainment  -  Warner Records on May 8, 2023"
5,UTA'S SONGS ONE PIECE FILM RED,Ado,https://www.qobuz.com/us-en/album/utas-songs-one-piece-film-red-ado/l6wqh3teh1hvb,https://static.qobuz.com/images/covers/vb/1h/l6wqh3teh1hvb_230.jpg,"J-Pop - Released by Universal Music LLC on Aug 9, 2022"
6,THE ALBUM,BLACKPINK,https://www.qobuz.com/us-en/album/the-album-blackpink/ps33j34fkxloa,https://static.qobuz.com/images/covers/oa/xl/ps33j34fkxloa_230.jpg,"K-Pop - Released by YG Entertainment - Interscope Records on Oct 2, 2020"
7,Drama - The 4th Mini Album,aespa,https://www.qobuz.com/us-en/album/drama-the-4th-mini-album-aespa/e04zpbtb4w7aa,https://static.qobuz.com/images/covers/aa/w7/e04zpbtb4w7aa_230.jpg,"K-Pop - Released by SM Entertainment  -  Warner Records on Nov 10, 2023"
8,The Winning,IU,https://www.qobuz.com/us-en/album/the-winning-iu/ttw2iwul4hjhb,https://static.qobuz.com/images/covers/hb/hj/ttw2iwul4hjhb_230.jpg,"K-Pop - Released by EDAM Entertainment on Feb 20, 2024"
9,JENNIE Special Single [You & Me],Jennie,https://www.qobuz.com/us-en/album/jennie-special-single-you-me-jennie/uhlsnv4nogh7b,https://static.qobuz.com/images/covers/7b/gh/uhlsnv4nogh7b_230.jpg,"K-Pop - Released by YG Entertainment - Interscope Records on Oct 6, 2023"
10,LOVE DIVE,Ive,https://www.qobuz.com/us-en/album/love-dive-ive/w7ikk6u2onnha,https://static.qobuz.com/images/covers/ha/nn/w7ikk6u2onnha_230.jpg,"Asia - Released by Starship Entertainment on Apr 5, 2022"
11,GAME PLAN,JEON SOMI,https://www.qobuz.com/us-en/album/game-plan-jeon-somi/lrqe5ee7i6mrb,https://static.qobuz.com/images/covers/rb/6m/lrqe5ee7i6mrb_230.jpg,"K-Pop - Released by THEBLACKLABEL - Interscope Records on Aug 7, 2023"
12,THE GIRLS (BLACKPINK THE GAME OST),BLACKPINK,https://www.qobuz.com/us-en/album/the-girls-blackpink/yt2ob0y5hl7aa,https://static.qobuz.com/images/covers/aa/l7/yt2ob0y5hl7aa_230.jpg,"K-Pop - Released by YG Entertainment - Interscope Records on Jul 8, 2022"
13,Chill Kill - The 3rd Album,Red Velvet,https://www.qobuz.com/us-en/album/chill-kill-the-3rd-album-red-velvet/zka731urp7xoa,https://static.qobuz.com/images/covers/oa/7x/zka731urp7xoa_230.jpg,"K-Pop - Released by SM Entertainment on Nov 13, 2023"
14,To. X - The 5th Mini Album,Taeyeon,https://www.qobuz.com/us-en/album/to-x-the-5th-mini-album-taeyeon/o34rbsqmk62ac,https://static.qobuz.com/images/covers/ac/62/o34rbsqmk62ac_230.jpg,"K-Pop - Released by SM Entertainment on Nov 27, 2023"
15,Anytime Anywhere,milet,https://www.qobuz.com/us-en/album/anytime-anywhere-milet/oo4vzv3r5mpvc,https://static.qobuz.com/images/covers/vc/mp/oo4vzv3r5mpvc_230.jpg,"J-Pop - Released by Sony Music Labels Inc. on Sep 29, 2023"
16,The 4th Mini Album 'VERSUS',VIVIZ,https://www.qobuz.com/us-en/album/the-4th-mini-album-versus-viviz/zbrd33a5wcpla,https://static.qobuz.com/images/covers/la/cp/zbrd33a5wcpla_230.jpg,"K-Pop - Released by BIGPLANETMADE on Nov 2, 2023"
17,Better Things,aespa,https://www.qobuz.com/us-en/album/better-things-aespa/ptwufzsvzbq9a,https://static.qobuz.com/images/covers/9a/bq/ptwufzsvzbq9a_230.jpg,"K-Pop - Released by SM Entertainment  -  Warner Records on Aug 18, 2023"
18,Love poem,IU,https://www.qobuz.com/us-en/album/love-poem-iu/ln8173bakuqja,https://static.qobuz.com/images/covers/ja/uq/ln8173bakuqja_230.jpg,"Asia - Released by KakaoM on Nov 18, 2019"
19,THE BADDEST,K/DA|(G)I-DLE|Wolftyla,https://www.qobuz.com/us-en/album/the-baddest-k-da-gi-dle-and-wolftyla-featuring-bea-miller-and-league-of-legends/ddywdo8bop4na,https://static.qobuz.com/images/covers/na/p4/ddywdo8bop4na_230.jpg,"Asia - Released by Riot Games on Aug 27, 2020"
20,KICK BACK,Kenshi Yonezu,https://www.qobuz.com/us-en/album/kick-back-kenshi-yonezu/ukogtitohgsec,https://static.qobuz.com/images/covers/ec/gs/ukogtitohgsec_230.jpg,"J-Pop - Released by Sony Music Labels Inc. on Oct 12, 2022"
21,Masterpiece,MISAMO,https://www.qobuz.com/us-en/album/masterpiece-misamo/pgw2gy4u5dfza,https://static.qobuz.com/images/covers/za/df/pgw2gy4u5dfza_230.jpg,"J-Pop - Released by WM Japan on Jul 25, 2023"
22,LALISA,Lisa,https://www.qobuz.com/us-en/album/lalisa-lisa/whfykjwilaumc,https://static.qobuz.com/images/covers/mc/au/whfykjwilaumc_230.jpg,"K-Pop - Released by YG Entertainment - Interscope Records on Sep 10, 2021"
23,Girls - The 2nd Mini Album,aespa,https://www.qobuz.com/us-en/album/girls-the-2nd-mini-album-aespa/rrxt2smgygmbc,https://static.qobuz.com/images/covers/bc/gm/rrxt2smgygmbc_230.jpg,"K-Pop - Released by SM Entertainment  -  Warner Records on Jul 8, 2022"
24,HEAT,(G)I-DLE,https://www.qobuz.com/us-en/album/heat-gi-dle/qn86bv2zonila,https://static.qobuz.com/images/covers/la/ni/qn86bv2zonila_230.jpg,"K-Pop - Released by CUBE ENTERTAINMENT INC. - 88rising Music on Sep 7, 2023"
25,eight,IU,https://www.qobuz.com/us-en/album/eight-iu/sfcgn7y2cuqtb,https://static.qobuz.com/images/covers/tb/uq/sfcgn7y2cuqtb_230.jpg,"Asia - Released by EDAM엔터테인먼트 on May 6, 2020"
26,Gold　～また逢う日まで～,Hikaru Utada,https://www.qobuz.com/us-en/album/gold-hikaru-utada/h3vlus0y94atb,https://static.qobuz.com/images/covers/tb/4a/h3vlus0y94atb_230.jpg,"J-Pop - Released by Sony Music Labels Inc. on Jul 28, 2023"
27,FESTA,Purple Kiss,https://www.qobuz.com/us-en/album/festa-purple-kiss/kzxj25y0074kb,https://static.qobuz.com/images/covers/kb/74/kzxj25y0074kb_230.jpg,"K-Pop - Released by RBW Inc. on Sep 5, 2023"
28,"ACT 1, SCENE 1",MAMAMOO+,https://www.qobuz.com/us-en/album/act-1-scene-1-mamamoo-/u3bse3foa3tkc,https://static.qobuz.com/images/covers/kc/3t/u3bse3foa3tkc_230.jpg,"Asia - Released by RBW Inc. on Mar 29, 2023"
29,EENIE MEENIE,Chung Ha,https://www.qobuz.com/us-en/album/eenie-meenie-chung-ha/oz7nm8c1jn5jb,https://static.qobuz.com/images/covers/jb/n5/oz7nm8c1jn5jb_230.jpg,"K-Pop - Released by MORE VISION on Mar 11, 2024"
30,Wish You Hell - The 2nd Mini Album,Wendy,https://www.qobuz.com/us-en/album/wish-you-hell-the-2nd-mini-album-wendy/vn57o0nzds0wa,https://static.qobuz.com/images/covers/wa/s0/vn57o0nzds0wa_230.jpg,"K-Pop - Released by SM Entertainment on Mar 12, 2024"
