name,group,language,youtube,logo,updated
寰宇新聞台,港澳台,中,video/6IquAgfvYmc,https://yt3.ggpht.com/fxBQ8u3-6PQVnI81vnxzjF7u-3nipVm6Rv4-G5OQ2ugg6zWYcyfBuRqHnQrFyWEe1oDCrvgJtQ,2023-09-15T06:00:43.915Z
寰宇新聞台轮播,港澳台,中,video/vOue3tgccd0,https://yt3.ggpht.com/fxBQ8u3-6PQVnI81vnxzjF7u-3nipVm6Rv4-G5OQ2ugg6zWYcyfBuRqHnQrFyWEe1oDCrvgJtQ,
寰宇新聞台湾台,港澳台,中,video/w87VGpgd90U,https://yt3.ggpht.com/fxBQ8u3-6PQVnI81vnxzjF7u-3nipVm6Rv4-G5OQ2ugg6zWYcyfBuRqHnQrFyWEe1oDCrvgJtQ,2023-09-03T03:00:45.164Z
鳳凰衛視資訊台,港澳台,中,video/HFib76ySpbU,https://yt3.ggpht.com/x3_2K7uOfrAKgoPE1o0vsUWTYoWDk3NjiIRFdm8iPQ16prR3kvGXbaBAWph52rH-TZQkJ5g4P9Y,
The Good Life Radio x Sensual Musique,YouTube,其他,video/36YnV9STBqc,https://yt3.ggpht.com/ytc/AIdro_lxuQ-44Nj4N8v-TMak_jvLqaA5VB4aR1GnNQLc2g,
lofi hip hop radio 📚 - beats to relax/study to,YouTube,其他,video/jfKfPfyJRdk,https://yt3.ggpht.com/M0eY1tfgiwuyqrSlWIkzf5-6RZSARiuChjpXyZe-hfl9C2fn-I4leLtxKAqYqGZv_FgE4u5TKQ,
THE K-POP,YouTube,韩,video/JVocS7Yftw8,https://yt3.ggpht.com/TgL5KUN48UWo9ADJskGN0NEDD7QJRUvyotOQ5_i0X5fitOERE-d4Utvw8LQNSX9yXgKNmeaJZO4,
THE K-POP2 TOP 50 of 2017~2019,YouTube,韩,video/jCg2DzrukDo,https://yt3.ggpht.com/qjY5_GcDN5xdZeI2sLZSSD8eUt-AL2QMsLueHXTNiIMpyddJ0kRWhP5gZrCGsB97EaTDGnSE4Q4,
kozypop 24/7,YouTube,韩,video/w0rhmlE_8-s,https://yt3.ggpht.com/5yhCEAvrAmmuOOw1VG0H-TSTWhJfRj6G4X83w_tj54tvU-CRvdSH6CadaSDvC_vK4TXdHdA_,
ALL THE K-POP [𝑷𝒍𝒂𝒚𝒍𝒊𝒔𝒕] 24/7 K-POP Girl Group,YouTube,韩,video/G3NX_hzCuFM,https://yt3.ggpht.com/rt1bDWIkFPoQblyNJnQsf1LisM9i88QKRUU-NZu9fmQ0ogyLvUVVUJe1ufaEN0E8DiZk2RgYwg,
