origin,target
001民視第,民视第一台
001民視第一,民视第一台
002中視經典,中视经典
003中視菁采,中视菁采台
004台視綜合,台视综合台
006民視,民视
006民视,民视
007人間衛視,人间卫视
008台視,台视
009大愛,大爱一台
010中視,中视
011霹靂台灣,霹雳台湾台
012華視,华视
013公視,公视
014公視台語台,公视2
015好消息,GOODTV
016原住民族電視,原住民
017客家電視,客家电视台
018BBCEARTH,BBCEARTH
018國家地理頻道,国家地理(台湾)
019DISCOVERY,DISCOVERY
020TLC旅遊生活,TLC旅游生活
021動物星球,动物星球
022CN卡通,CN卡通
023尼克兒童頻道,NICKELODEON
024MOMO親子,MOMO亲子台
025東森幼幼,东森幼幼台
026緯來綜合,纬来综合台
027八大第一,八大第一台
028八大綜合,八大综合台
029三立臺灣,三立台湾台
030三立都會,三立都会台
031衛視中文,卫视中文台
032東森綜合,东森综合台
033東森超視,东森超视
034愛爾達綜合,爱尔达综合
035亞洲旅遊,亚洲旅游台
036中天綜合,中天综合台
037東風衛視,东风卫视
038年代MUCH,年代MUCH
039中天娛樂,中天娱乐台
040東森戲劇,东森戏剧台
041八大戲劇,八大戏剧台
042TVBS歡樂,TVBS欢乐台
043緯來戲劇,纬来戏剧台
044高點綜合,高点综合台
045JET綜合,JET综合台
046龍華偶像,龙华偶像
047龍華戲劇,龙华戏剧
048三立INEWS,三立财经新闻台
048台視新聞,台视新闻台
049壹電視新聞,壹电视新闻台
050年代新聞,年代新闻台
051東森新聞,东森新闻台
053民視新聞,民视新闻台
054三立新聞,三立新闻台
055TVBS新聞,TVBS新闻台
056TVBS,TVBS
057東森財經新聞,东森财经新闻台
058非凡新聞,非凡新闻台
059中視新聞,中视新闻
060中天新聞,中天新闻台
061CATCHPLAY,CATCHPLAY电影
061衛視電影,卫视电影台
062東森電影,东森电影台
063緯來電影,纬来电影台
064龍祥電影,LSTIME电影台
065HBO,HBO
066東森洋片,东森洋片台
067AXN,AXN
068好萊塢電影,好莱坞电影台
069AMC電影台,AMC
069STARMOVIESGOLD,FOXMOVIES
070CINEMAX,CINEMAX
071緯來育樂,纬来育乐台
072緯來體育,纬来体育台
073ELEVENSPORTS1,ELEVEN体育一台
074ELEVENSPORTS2,ELEVEN体育二台
076博斯運動一台,博斯运动一台
077緯來日本,纬来日本台
078國興衛視,国兴卫视
079BBCLIFESTYLE,BBCLIFESTYLE
079STARWORLD,FOX
080華藝MBC綜合,华艺MBC
080靖天日本,靖天日本台
081Z頻道,Z
081愛爾達娛樂,爱尔达娱乐台
082ANIMAX,ANIMAX
083MTV,MTV
084ETTODAY綜合,ETTODAY
084靖天資訊,靖天资讯台
085寰宇新聞,寰宇新闻
085靖天綜合,靖天综合台
086靖天育樂,靖天育乐台
087KLT-靖天國際,靖天国际
088八大娛樂,八大娱乐台
088靖天日本,靖天日本台
089KLT-靖天國際,靖天国际
089三立INEWS,三立财经新闻台
090非凡商業,非凡商业台
091台視財經,台视财经台
092寰宇財經,寰宇财经
093SBN全球財經,SBN全球财经台
094NHK-WORLD,NHKWORLDPREMIUM
095NHK,NHK
096靖洋卡通,靖洋卡通台
097DAVINCI達文西,达文西
097靖天卡通,靖天卡通台
098DREAMWORKS,DREAMWORKS
099BOOMERANG,BOOMERANG
1,CCTV1
1⃣️,cctv1
100NICKJR.,NICKJR.
101CBEEBIES,CBEEBIES
101动画,MY101综合
102BABYTV,BABYTV
103DISCOVERYASIA,DISCOVERYASIA
104DISCOVERY科學頻道,DISCOVERY科学
105DISCOVERYDMAX,DMAX
106DISCOVERYEVE,EVE
107HISTORY,HISTORY
109CI罪案偵緝頻道,CI
10.CCTV-17农业农村-1080P,CCTV17
110BBCEARTH,BBCEARTH
110LUXETV,LUXETV
111,民视第一台
1111,CCTV1
111BBCLIFESTYLE,BBCLIFESTYLE
111LIFETIME,LIFETIME
113MTVLIVE,MTV
116MEZZOLIVE,MEZZOLIVEHD
117TRACEURBAN,TRACEURBAN
118台視新聞,台视新闻台
118星衛娛樂台,星卫娱乐
118華藝MBC綜合,华艺MBC
119台視財經,台视财经台
119愛爾達娛樂,爱尔达娱乐台
11.湖北卫视-1080P,湖北卫视
120民視台灣,民视台湾台
121公視3台,公视三台
121民視台灣,民视台湾台
122公視3台,公视三台
123,民视第一台
125幸福空間居家,幸福空间居家台
126高點育樂,高点育乐台
128CNEX紀實,CNEX
129影迷數位紀實,影迷数位纪实
12.湖北经济-1080P,湖北经济
130FASHIONTV,FASHIONTV
131LUXETV,LUXETV
131ROCKENTERTAINMENT,BLUEANTENTERTAINMENT
132LIFETIME,LIFETIME
132ROCKEXTREME,BLUEANTEXTREME
133TV5MONDESTYLE,生活时尚
134HGTV居家生活,HGTV居家乐活
135FOODNETWORK,FOODNETWORK美食台
136AFN亞洲美食,亚洲美食
137美食星球,美食星球
138靖洋戲劇,靖洋戏剧台
139愛爾達影劇,爱尔达影剧
13新闻,CCTV13
13.湖北综合-1080P,湖北综合
140靖天戲劇,靖天戏剧台
141EYETV戲劇,EYE戏剧
142龍華日韓,龙华日韩台
143三立戲劇,三立戏剧
144TVN,TVN
145台灣戲劇台,台湾戏剧
145韓國娛樂台KMTV,韩国娱乐台KMTV
146ELTV生活英語,ELTV
146ROCKENTERTAINMENT,BLUEANTENTERTAINMENT
147ROCKEXTREME,BLUEANTEXTREME
148寰宇新聞,寰宇新闻
14.湖北垄上频道-1080P,湖北垄上
150ALJAZEERAENGLISH,ALJAZEERA
151BBCWORLDNEWS,BBCWORLDNEWS
152BLOOMBERG,BLOOMBERGTV
153CHANNELNEWSASIA,CHANNELNEWSASIA
155EURONEWS,EURONEWS
156DW德國之聲,DW
157FRANCE24,FRANCE24
159SKYNEWS,SKYNEWS
15.湖北公共·新闻-1080P,湖北公共·新闻
160ARIRANGTV,ARIRANGTV
166靖天資訊,靖天资讯台
167緯來精采,纬来精采
167靖天歡樂,靖天欢乐台
168狼谷育樂台,狼谷竞技
168緯來精采,纬来精采
169愛爾達體育1台,爱尔达体育1
16.湖北影视-1080P,湖北影视
170愛爾達體育2台,爱尔达体育2
171愛爾達體育3台,爱尔达体育3
173智林體育,智林体育
174博斯運動二台,博斯运动二台
175博斯高球I,博斯高球1台
176博斯高球Ⅱ,博斯高球2台
177博斯網球,博斯网球台
178博斯魅力網,博斯魅力网
179博斯無限I,博斯无限台
17.湖北教育-1080P,湖北教育
18,NHK
180博斯無限Ⅱ,博斯无限二台
185EUROSPORT,EUROSPORT
186TRACESPORTSTARS,TRACESPORTS
187TRAVELCHANNEL,TRAVELCHANNEL
188EYETV旅遊,EYE旅游
189滾動力,ROLLOR
189靖天歡樂,靖天欢乐台
18.湖北生活-1080P,湖北生活
1905,1905环球经典
1905国内电影,1905极限反转
1905国内经典,1905极限反转
1905国外电影,1905环球经典
1905放映室,1905极限反转
190SMART知識,SMART知识
191采昌影劇,采昌影剧
192HBOHD,HBOHD
193HBOHITS,HBOHITS
194HBOSIGNATURE,HBOSIGNATURE
195HBOFAMILY,HBOFAMILY
196STARMOVIESHD,STARMOVIESHD
196WARNERTV,WARNERTV
197CINEMAWORLD,CINEMAWORLD
197星衛HD電影,星卫HD电影
198AMC最愛電影,AMC
198MYCINEMAEUROPE,MYCINEMAEUROPE
199WARNERTV,WARNERTV
19.CCTV-1综合-1080P,CCTV1
1.CCTV-1综合-1080P,CCTV1
