name,group,type,m3u,logo,updated
纬来体育,港澳台,diy,http://hls.szsummer.cn/live/446035/playlist.m3u8?k=32f9ec7c13e4b390289143a8e1b2a898&t=1840341130,,
纬来体育,港澳台,diy,https://hdl.szsummer.cn/live/446035.flv?t=1840341130&k=82247f3ddb1d553b68e52eb3e3aa0ad5,,
纬来体育,港澳台,diy,https://s2.pub/cctv-13,,

寰宇新聞台,港澳台,youtube,https://www.youtube.com/watch?v=6IquAgfvYmc,https://yt3.ggpht.com/fxBQ8u3-6PQVnI81vnxzjF7u-3nipVm6Rv4-G5OQ2ugg6zWYcyfBuRqHnQrFyWEe1oDCrvgJtQ,
寰宇新聞台轮播,港澳台,youtube,https://www.youtube.com/watch?v=vOue3tgccd0,https://yt3.ggpht.com/fxBQ8u3-6PQVnI81vnxzjF7u-3nipVm6Rv4-G5OQ2ugg6zWYcyfBuRqHnQrFyWEe1oDCrvgJtQ,
寰宇新聞台湾台,港澳台,youtube,https://www.youtube.com/watch?v=w87VGpgd90U,https://yt3.ggpht.com/fxBQ8u3-6PQVnI81vnxzjF7u-3nipVm6Rv4-G5OQ2ugg6zWYcyfBuRqHnQrFyWEe1oDCrvgJtQ,
鳳凰衛視資訊台,港澳台,youtube,https://www.youtube.com/watch?v=HFib76ySpbU,https://yt3.ggpht.com/x3_2K7uOfrAKgoPE1o0vsUWTYoWDk3NjiIRFdm8iPQ16prR3kvGXbaBAWph52rH-TZQkJ5g4P9Y,
The Good Life Radio x Sensual Musique,YouTube,youtube,https://www.youtube.com/watch?v=36YnV9STBqc,https://yt3.ggpht.com/ytc/AIdro_lxuQ-44Nj4N8v-TMak_jvLqaA5VB4aR1GnNQLc2g,
lofi hip hop radio 📚 - beats to relax/study to,YouTube,youtube,https://www.youtube.com/watch?v=jfKfPfyJRdk,https://yt3.ggpht.com/M0eY1tfgiwuyqrSlWIkzf5-6RZSARiuChjpXyZe-hfl9C2fn-I4leLtxKAqYqGZv_FgE4u5TKQ,
THE K-POP,YouTube,youtube,https://www.youtube.com/watch?v=JVocS7Yftw8,https://yt3.ggpht.com/TgL5KUN48UWo9ADJskGN0NEDD7QJRUvyotOQ5_i0X5fitOERE-d4Utvw8LQNSX9yXgKNmeaJZO4,
THE K-POP2 TOP 50 of 2017~2019,YouTube,youtube,https://www.youtube.com/watch?v=jCg2DzrukDo,https://yt3.ggpht.com/qjY5_GcDN5xdZeI2sLZSSD8eUt-AL2QMsLueHXTNiIMpyddJ0kRWhP5gZrCGsB97EaTDGnSE4Q4,
kozypop 24/7,YouTube,youtube,https://www.youtube.com/watch?v=w0rhmlE_8-s,https://yt3.ggpht.com/5yhCEAvrAmmuOOw1VG0H-TSTWhJfRj6G4X83w_tj54tvU-CRvdSH6CadaSDvC_vK4TXdHdA_,
ALL THE K-POP [𝑷𝒍𝒂𝒚𝒍𝒊𝒔𝒕] 24/7 K-POP Girl Group,YouTube,youtube,https://www.youtube.com/watch?v=G3NX_hzCuFM,https://yt3.ggpht.com/rt1bDWIkFPoQblyNJnQsf1LisM9i88QKRUU-NZu9fmQ0ogyLvUVVUJe1ufaEN0E8DiZk2RgYwg,
